name,image,property,variation,scale,rating,attempt

Iliya,im2,br,1,1_10,3,2

Iliya,im2,br,1.15,1_10,5,2

Iliya,im2,br,1.45,1_10,2,2

Iliya,im2,br,1.3,1_10,3,2

Iliya,im2,br,0.85,1_10,3,2

Iliya,im2,br,0.7,1_10,7,2

Iliya,im2,br,1,words,mittel,2

Iliya,im2,br,1.15,words,mittel,2

Iliya,im2,br,1.45,words,schlecht,2

Iliya,im2,br,1.3,words,schlecht,2

Iliya,im2,br,0.85,words,schlecht,2

Iliya,im2,br,0.7,words,mittel,2

Iliya,im2,br,1,grades,4+,2

Iliya,im2,br,1.15,grades,5+,2

Iliya,im2,br,1.45,grades,5,2

Iliya,im2,br,1.3,grades,4-,2

Iliya,im2,br,0.85,grades,5+,2

Iliya,im2,br,0.7,grades,1,2

Iliya,im2,br,1,1_50,26,2

Iliya,im2,br,1.15,1_50,28,2

Iliya,im2,br,1.45,1_50,9,2

Iliya,im2,br,1.3,1_50,14,2

Iliya,im2,br,0.85,1_50,9,2

Iliya,im2,br,0.7,1_50,50,2

Iliya,im2,con,0.85,1_10,3,2

Iliya,im2,con,1.3,1_10,1,2

Iliya,im2,con,0.7,1_10,2,2

Iliya,im2,con,1,1_10,2,2

Iliya,im2,con,1.15,1_10,3,2

Iliya,im2,con,1.45,1_10,3,2

Iliya,im2,con,0.85,words,mittel,2

Iliya,im2,con,1.3,words,sehr schlecht,2

Iliya,im2,con,0.7,words,schlecht,2

Iliya,im2,con,1,words,sehr schlecht,2

Iliya,im2,con,1.15,words,schlecht,2

Iliya,im2,con,1.45,words,sehr schlecht,2

Iliya,im2,con,0.85,grades,4+,2

Iliya,im2,con,1.3,grades,6,2

Iliya,im2,con,0.7,grades,5,2

Iliya,im2,con,1,grades,5,2

Iliya,im2,con,1.15,grades,5+,2

Iliya,im2,con,1.45,grades,6+,2

Iliya,im2,con,0.85,1_50,21,2

Iliya,im2,con,1.3,1_50,1,2

Iliya,im2,con,0.7,1_50,9,2

Iliya,im2,con,1,1_50,4,2

Iliya,im2,con,1.15,1_50,9,2

Iliya,im2,con,1.45,1_50,5,2

Iliya,im2,sat,0.9,1_10,4,2

Iliya,im2,sat,1.6,1_10,1,2

Iliya,im2,sat,1.2,1_10,4,2

Iliya,im2,sat,1,1_10,1,2

Iliya,im2,sat,0.75,1_10,5,2

Iliya,im2,sat,1.4,1_10,1,2

Iliya,im2,sat,0.9,words,mittel,2

Iliya,im2,sat,1.6,words,sehr schlecht,2

Iliya,im2,sat,1.2,words,schlecht,2

Iliya,im2,sat,1,words,sehr schlecht,2

Iliya,im2,sat,0.75,words,mittel,2

Iliya,im2,sat,1.4,words,sehr schlecht,2

Iliya,im2,sat,0.9,grades,5+,2

Iliya,im2,sat,1.6,grades,6,2

Iliya,im2,sat,1.2,grades,4,2

Iliya,im2,sat,1,grades,5-,2

Iliya,im2,sat,0.75,grades,4+,2

Iliya,im2,sat,1.4,grades,6+,2

Iliya,im2,sat,0.9,1_50,28,2

Iliya,im2,sat,1.6,1_50,1,2

Iliya,im2,sat,1.2,1_50,17,2

Iliya,im2,sat,1,1_50,4,2

Iliya,im2,sat,0.75,1_50,33,2

Iliya,im2,sat,1.4,1_50,1,2

Iliya,im6,br,1,1_10,7,2

Iliya,im6,br,1.15,1_10,9,2

Iliya,im6,br,1.45,1_10,4,2

Iliya,im6,br,1.3,1_10,10,2

Iliya,im6,br,0.85,1_10,8,2

Iliya,im6,br,0.7,1_10,1,2

Iliya,im6,br,1,words,gut,2

Iliya,im6,br,1.15,words,gut,2

Iliya,im6,br,1.45,words,schlecht,2

Iliya,im6,br,1.3,words,sehr gut,2

Iliya,im6,br,0.85,words,gut,2

Iliya,im6,br,0.7,words,sehr schlecht,2

Iliya,im6,br,1,grades,4,2

Iliya,im6,br,1.15,grades,3,2

Iliya,im6,br,1.45,grades,5-,2

Iliya,im6,br,1.3,grades,1+,2

Iliya,im6,br,0.85,grades,3+,2

Iliya,im6,br,0.7,grades,6+,2

Iliya,im6,br,1,1_50,29,2

Iliya,im6,br,1.15,1_50,36,2

Iliya,im6,br,1.45,1_50,23,2

Iliya,im6,br,1.3,1_50,50,2

Iliya,im6,br,0.85,1_50,36,2

Iliya,im6,br,0.7,1_50,1,2

Iliya,im6,con,0.85,1_10,8,2

Iliya,im6,con,1.3,1_10,2,2

Iliya,im6,con,0.7,1_10,3,2

Iliya,im6,con,1,1_10,9,2

Iliya,im6,con,1.15,1_10,8,2

Iliya,im6,con,1.45,1_10,10,2

Iliya,im6,con,0.85,words,gut,2

Iliya,im6,con,1.3,words,schlecht,2

Iliya,im6,con,0.7,words,schlecht,2

Iliya,im6,con,1,words,sehr gut,2

Iliya,im6,con,1.15,words,gut,2

Iliya,im6,con,1.45,words,sehr gut,2

Iliya,im6,con,0.85,grades,4,2

Iliya,im6,con,1.3,grades,5+,2

Iliya,im6,con,0.7,grades,5-,2

Iliya,im6,con,1,grades,1-,2

Iliya,im6,con,1.15,grades,3-,2

Iliya,im6,con,1.45,grades,1,2

Iliya,im6,con,0.85,1_50,29,2

Iliya,im6,con,1.3,1_50,20,2

Iliya,im6,con,0.7,1_50,19,2

Iliya,im6,con,1,1_50,50,2

Iliya,im6,con,1.15,1_50,33,2

Iliya,im6,con,1.45,1_50,50,2

Iliya,im6,sat,0.9,1_10,8,2

Iliya,im6,sat,1.6,1_10,9,2

Iliya,im6,sat,1.2,1_10,10,2

Iliya,im6,sat,1,1_10,9,2

Iliya,im6,sat,0.75,1_10,1,2

Iliya,im6,sat,1.4,1_10,10,2

Iliya,im6,sat,0.9,words,gut,2

Iliya,im6,sat,1.6,words,sehr gut,2

Iliya,im6,sat,1.2,words,sehr gut,2

Iliya,im6,sat,1,words,sehr gut,2

Iliya,im6,sat,0.75,words,schlecht,2

Iliya,im6,sat,1.4,words,sehr gut,2

Iliya,im6,sat,0.9,grades,3,2

Iliya,im6,sat,1.6,grades,1,2

Iliya,im6,sat,1.2,grades,1+,2

Iliya,im6,sat,1,grades,1-,2

Iliya,im6,sat,0.75,grades,5-,2

Iliya,im6,sat,1.4,grades,1,2

Iliya,im6,sat,0.9,1_50,36,2

Iliya,im6,sat,1.6,1_50,50,2

Iliya,im6,sat,1.2,1_50,50,2

Iliya,im6,sat,1,1_50,44,2

Iliya,im6,sat,0.75,1_50,1,2

Iliya,im6,sat,1.4,1_50,50,2

