name,image,property,variation,scale,rating,attempt
Bozhidar,im6,sat,0.75,words,schlecht,2
Bozhidar,im6,sat,0.9,grades,2+,2
Bozhidar,im6,sat,1.6,grades,3-,2
Bozhidar,im6,sat,1.2,grades,1-,2
Bozhidar,im6,sat,1.4,grades,2+,2
Bozhidar,im6,sat,1,grades,3+,2
Bozhidar,im6,sat,0.75,grades,5+,2
Bozhidar,im6,sat,0.9,1_50,49,2
Bozhidar,im6,sat,1.6,1_50,16,2
Bozhidar,im6,sat,1.2,1_50,43,2
Bozhidar,im6,sat,1.4,1_50,44,2
Bozhidar,im6,sat,1,1_50,36,2
Bozhidar,im6,sat,0.75,1_50,25,2
