name,image,property,variation,scale,rating,attempt

Iliya,im2,br,0.85,1_10,4,0

Iliya,im2,br,1.3,1_10,3,0

Iliya,im2,br,1.15,1_10,6,0

Iliya,im2,br,1,1_10,1,0

Iliya,im2,br,0.7,1_10,1,0

Iliya,im2,br,1.45,1_10,9,0

Iliya,im2,br,0.85,words,schlecht,0

Iliya,im2,br,1.3,words,schlecht,0

Iliya,im2,br,1.15,words,mittel,0

Iliya,im2,br,1,words,schlecht,0

Iliya,im2,br,0.7,words,sehr schlecht,0

Iliya,im2,br,1.45,words,gut,0

Iliya,im2,br,0.85,grades,5,0

Iliya,im2,br,1.3,grades,6+,0

Iliya,im2,br,1.15,grades,4,0

Iliya,im2,br,1,grades,6+,0

Iliya,im2,br,0.7,grades,6+,0

Iliya,im2,br,1.45,grades,3,0

Iliya,im2,br,0.85,1_50,10,0

Iliya,im2,br,1.3,1_50,1,0

Iliya,im2,br,1.15,1_50,23,0

Iliya,im2,br,1,1_50,10,0

Iliya,im2,br,0.7,1_50,1,0

Iliya,im2,br,1.45,1_50,33,0

Iliya,im2,con,0.7,1_10,5,0

Iliya,im2,con,1.3,1_10,5,0

Iliya,im2,con,1.15,1_10,7,0

Iliya,im2,con,1,1_10,1,0

Iliya,im2,con,0.85,1_10,1,0

Iliya,im2,con,1.45,1_10,9,0

Iliya,im2,con,0.7,words,schlecht,0

Iliya,im2,con,1.3,words,schlecht,0

Iliya,im2,con,1.15,words,mittel,0

Iliya,im2,con,1,words,sehr schlecht,0

Iliya,im2,con,0.85,words,sehr schlecht,0

Iliya,im2,con,1.45,words,gut,0

Iliya,im2,con,0.7,grades,5-,0

Iliya,im2,con,1.3,grades,5-,0

Iliya,im2,con,1.15,grades,4,0

Iliya,im2,con,1,grades,6,0

Iliya,im2,con,0.85,grades,6+,0

Iliya,im2,con,1.45,grades,3,0

Iliya,im2,con,0.7,1_50,6,0

Iliya,im2,con,1.3,1_50,13,0

Iliya,im2,con,1.15,1_50,23,0

Iliya,im2,con,1,1_50,1,0

Iliya,im2,con,0.85,1_50,1,0

Iliya,im2,con,1.45,1_50,25,0

Iliya,im2,sat,1.6,1_10,3,0

Iliya,im2,sat,0.75,1_10,6,0

Iliya,im2,sat,1.2,1_10,2,0

Iliya,im2,sat,1,1_10,1,0

Iliya,im2,sat,0.9,1_10,5,0

Iliya,im2,sat,1.4,1_10,10,0

Iliya,im2,sat,1.6,words,schlecht,0

Iliya,im2,sat,0.75,words,mittel,0

Iliya,im2,sat,1.2,words,schlecht,0

Iliya,im2,sat,1,words,sehr schlecht,0

Iliya,im2,sat,0.9,words,gut,0

Iliya,im2,sat,1.4,words,gut,0

Iliya,im2,sat,1.6,grades,6+,0

Iliya,im2,sat,0.75,grades,5,0

Iliya,im2,sat,1.2,grades,5,0

Iliya,im2,sat,1,grades,6,0

Iliya,im2,sat,0.9,grades,4,0

Iliya,im2,sat,1.4,grades,3+,0

Iliya,im2,sat,1.6,1_50,6,0

Iliya,im2,sat,0.75,1_50,13,0

Iliya,im2,sat,1.2,1_50,10,0

Iliya,im2,sat,1,1_50,1,0

Iliya,im2,sat,0.9,1_50,19,0

Iliya,im2,sat,1.4,1_50,25,0

Iliya,im6,br,0.85,1_10,10,0

Iliya,im6,br,1.3,1_10,3,0

Iliya,im6,br,1.15,1_10,10,0

Iliya,im6,br,1,1_10,1,0

Iliya,im6,br,0.7,1_10,5,0

Iliya,im6,br,1.45,1_10,3,0

Iliya,im6,br,0.85,words,gut,0

Iliya,im6,br,1.3,words,mittel,0

Iliya,im6,br,1.15,words,sehr gut,0

