name,image,property,variation,scale,rating,attempt
Chris,im5,con,1.15,grades,4+,0
,,,,,,
Chris,im5,con,1,1_50,47,0
,,,,,,
Chris,im5,con,1.45,1_50,18,0
,,,,,,
Chris,im5,con,1.3,1_50,35,0
,,,,,,
Chris,im5,con,0.85,1_50,24,0
,,,,,,
Chris,im5,con,0.7,1_50,17,0
,,,,,,
Chris,im5,con,1.15,1_50,39,0
,,,,,,
Chris,im5,sat,1.4,1_10,7,0
,,,,,,
Chris,im5,sat,1.2,1_10,4,0
,,,,,,
Chris,im5,sat,1.6,1_10,7,0
,,,,,,
Chris,im5,sat,0.9,1_10,5,0
,,,,,,
Chris,im5,sat,0.75,1_10,4,0
,,,,,,
Chris,im5,sat,1,1_10,8,0
,,,,,,
Chris,im5,sat,1.4,words,sehr gut,0
,,,,,,
Chris,im5,sat,1.2,words,mittel,0
,,,,,,
Chris,im5,sat,1.6,words,gut,0
,,,,,,
Chris,im5,sat,0.9,words,schlecht,0
,,,,,,
Chris,im5,sat,0.75,words,sehr schlecht,0
,,,,,,
Chris,im5,sat,1,words,sehr gut,0
,,,,,,
Chris,im5,sat,1.4,grades,2-,0
,,,,,,
Chris,im5,sat,1.2,grades,2,0
,,,,,,
Chris,im5,sat,1.6,grades,1,0
,,,,,,
Chris,im5,sat,0.9,grades,2-,0
,,,,,,
Chris,im5,sat,0.75,grades,4,0
,,,,,,
Chris,im5,sat,1,grades,2-,0
,,,,,,
Chris,im5,sat,1.4,1_50,47,0
,,,,,,
Chris,im5,sat,1.2,1_50,42,0
,,,,,,
Chris,im5,sat,1.6,1_50,40,0
,,,,,,
Chris,im5,sat,0.9,1_50,20,0
,,,,,,
Chris,im5,sat,0.75,1_50,16,0
,,,,,,
Chris,im5,sat,1,1_50,50,0
,,,,,,
Chris,im6,br,0.7,1_10,6,0
,,,,,,
Chris,im6,br,0.85,1_10,9,0
,,,,,,
Chris,im6,br,1,1_10,4,0
,,,,,,
Chris,im6,br,1.45,1_10,3,0
,,,,,,
Chris,im6,br,1.3,1_10,3,0
,,,,,,
Chris,im6,br,1.15,1_10,3,0
,,,,,,
Chris,im6,br,0.7,words,gut,0
,,,,,,
Chris,im6,br,0.85,words,sehr gut,0
,,,,,,
Chris,im6,br,1,words,schlecht,0
,,,,,,
Chris,im6,br,1.45,words,mittel,0
,,,,,,
Chris,im6,br,1.3,words,sehr schlecht,0
,,,,,,
Chris,im6,br,1.15,words,gut,0
,,,,,,
Chris,im6,br,0.7,grades,3-,0
,,,,,,
Chris,im6,br,0.85,grades,1-,0
,,,,,,
Chris,im6,br,1,grades,2-,0
,,,,,,
Chris,im6,br,1.45,grades,3-,0
,,,,,,
Chris,im6,br,1.3,grades,4+,0
,,,,,,
Chris,im6,br,1.15,grades,3+,0
,,,,,,
Chris,im6,br,0.7,1_50,41,0
,,,,,,
Chris,im6,br,0.85,1_50,49,0
,,,,,,
Chris,im6,br,1,1_50,34,0
,,,,,,
Chris,im6,br,1.45,1_50,29,0
,,,,,,
Chris,im6,br,1.3,1_50,20,0
,,,,,,
Chris,im6,br,1.15,1_50,28,0
,,,,,,
Chris,im6,con,1,1_10,6,0
,,,,,,
Chris,im6,con,1.45,1_10,7,0
,,,,,,
Chris,im6,con,1.3,1_10,8,0
,,,,,,
Chris,im6,con,0.85,1_10,4,0
,,,,,,
Chris,im6,con,0.7,1_10,4,0
,,,,,,
Chris,im6,con,1.15,1_10,4,0
,,,,,,
Chris,im6,con,1,words,sehr gut,0
,,,,,,
Chris,im6,con,1.45,words,gut,0
,,,,,,
Chris,im6,con,1.3,words,gut,0
,,,,,,
Chris,im6,con,0.85,words,schlecht,0
,,,,,,
Chris,im6,con,0.7,words,schlecht,0
,,,,,,
Chris,im6,con,1.15,words,gut,0
,,,,,,
Chris,im6,con,1,grades,3,0
,,,,,,
Chris,im6,con,1.45,grades,2,0
,,,,,,
Chris,im6,con,1.3,grades,3-,0
,,,,,,
Chris,im6,con,0.85,grades,4+,0
,,,,,,
Chris,im6,con,0.7,grades,4+,0
,,,,,,
Chris,im6,con,1.15,grades,2,0
,,,,,,
Chris,im6,con,1,1_50,42,0
,,,,,,
Chris,im6,con,1.45,1_50,48,0
,,,,,,
Chris,im6,con,1.3,1_50,50,0
,,,,,,
Chris,im6,con,0.85,1_50,35,0
,,,,,,
Chris,im6,con,0.7,1_50,26,0
,,,,,,
Chris,im6,con,1.15,1_50,39,0
,,,,,,
Chris,im6,sat,1.4,1_10,9,0
,,,,,,
Chris,im6,sat,1.2,1_10,8,0
,,,,,,
Chris,im6,sat,1.6,1_10,10,0
,,,,,,
Chris,im6,sat,0.9,1_10,4,0
,,,,,,
Chris,im6,sat,0.75,1_10,2,0
,,,,,,
Chris,im6,sat,1,1_10,6,0
,,,,,,
Chris,im6,sat,1.4,words,sehr gut,0
,,,,,,
Chris,im6,sat,1.2,words,sehr gut,0
,,,,,,
Chris,im6,sat,1.6,words,sehr gut,0
,,,,,,
Chris,im6,sat,0.9,words,schlecht,0
,,,,,,
Chris,im6,sat,0.75,words,sehr schlecht,0
,,,,,,
Chris,im6,sat,1,words,gut,0
,,,,,,
Chris,im6,sat,1.4,grades,1,0
,,,,,,
Chris,im6,sat,1.2,grades,1,0
,,,,,,
Chris,im6,sat,1.6,grades,1+,0
,,,,,,
Chris,im6,sat,0.9,grades,3+,0
,,,,,,
