name,image,property,variation,scale,rating,attempt
Bozhidar,im2,br,1.15,1_10,8,0
Bozhidar,im2,br,1.45,1_10,5,0
Bozhidar,im2,br,1,1_10,4,0
Bozhidar,im2,br,0.85,1_10,2,0
Bozhidar,im2,br,0.7,1_10,2,0
Bozhidar,im2,br,1.3,1_10,4,0
Bozhidar,im2,br,1.15,words,mittel,0
Bozhidar,im2,br,1.45,words,mittel,0
Bozhidar,im2,br,1,words,schlecht,0
Bozhidar,im2,br,0.85,words,sehr schlecht,0
Bozhidar,im2,br,0.7,words,sehr schlecht,0
Bozhidar,im2,br,1.3,words,mittel,0
Bozhidar,im2,br,1.15,grades,3,0
Bozhidar,im2,br,1.45,grades,4,0
Bozhidar,im2,br,1,grades,4-,0
Bozhidar,im2,br,0.85,grades,5-,0
Bozhidar,im2,br,0.7,grades,6,0
Bozhidar,im2,br,1.3,grades,4-,0
Bozhidar,im2,br,1.15,1_50,15,0
Bozhidar,im2,br,1.45,1_50,15,0
Bozhidar,im2,br,1,1_50,31,0
Bozhidar,im2,br,0.85,1_50,8,0
Bozhidar,im2,br,0.7,1_50,10,0
Bozhidar,im2,br,1.3,1_50,24,0
Bozhidar,im2,con,0.7,1_10,8,0
Bozhidar,im2,con,0.85,1_10,8,0
Bozhidar,im2,con,1,1_10,6,0
Bozhidar,im2,con,1.15,1_10,4,0
Bozhidar,im2,con,1.45,1_10,1,0
Bozhidar,im2,con,1.3,1_10,6,0
Bozhidar,im2,con,0.7,words,gut,0
Bozhidar,im2,con,0.85,words,mittel,0
Bozhidar,im2,con,1,words,mittel,0
Bozhidar,im2,con,1.15,words,schlecht,0
Bozhidar,im2,con,1.45,words,sehr schlecht,0
Bozhidar,im2,con,1.3,words,mittel,0
Bozhidar,im2,con,0.7,grades,2-,0
Bozhidar,im2,con,0.85,grades,3+,0
Bozhidar,im2,con,1,grades,3-,0
Bozhidar,im2,con,1.15,grades,3-,0
Bozhidar,im2,con,1.45,grades,6,0
Bozhidar,im2,con,1.3,grades,2,0
Bozhidar,im2,con,0.7,1_50,18,0
Bozhidar,im2,con,0.85,1_50,20,0
Bozhidar,im2,con,1,1_50,36,0
Bozhidar,im2,con,1.15,1_50,17,0
Bozhidar,im2,con,1.45,1_50,10,0
Bozhidar,im2,con,1.3,1_50,32,0
Bozhidar,im2,sat,1.60,1_10,6,0
Bozhidar,im2,sat,0.9,1_10,10,0
Bozhidar,im2,sat,1,1_10,2,0
Bozhidar,im2,sat,0.75,1_10,7,0
Bozhidar,im2,sat,1.2,1_10,3,0
Bozhidar,im2,sat,1.4,1_10,7,0
Bozhidar,im2,sat,1.6,words,schlecht,0
Bozhidar,im2,sat,0.9,words,gut,0
Bozhidar,im2,sat,1,words,sehr schlecht,0
Bozhidar,im2,sat,0.75,words,schlecht,0
Bozhidar,im2,sat,1.2,words,schlecht,0
Bozhidar,im2,sat,1.4,words,gut,0
Bozhidar,im2,sat,1.6,grades,3-,0
Bozhidar,im2,sat,0.9,grades,2+,0
