resp,S1,S2

1,1,2

1,1,3

1,1,4

1,1,5

0,6,1

1,2,3

1,2,4

1,2,5

0,6,2

1,4,3

0,5,3

1,3,6

1,4,5

1,4,6

1,5,6

