resp,S1,S2

1,1,2

0,3,1

0,4,1

1,1,5

1,1,6

0,3,2

1,2,4

1,2,5

1,2,6

1,3,4

0,5,3

0,6,3

1,4,5

0,6,4

0,6,5

