resp,S1,S2

0,2,1

0,3,1

0,1,4

1,5,1

1,6,1

1,2,3

1,4,2

1,5,2

0,2,6

0,4,3

0,3,5

0,3,6

1,5,4

1,6,4

1,6,5

