resp,S1,S2

0,2,1

0,3,1

0,4,1

0,5,1

0,6,1

1,3,2

1,2,4

0,5,2

1,2,6

1,3,4

0,5,3

1,3,6

0,4,5

0,6,4

0,6,5

