resp,S1,S2

0,2,1

1,1,3

1,1,4

1,1,5

0,6,1

0,3,2

0,4,2

0,5,2

0,6,2

1,3,4

0,5,3

0,3,6

1,4,5

0,4,6

0,5,6

