resp,S1,S2

0,2,1

0,3,1

0,4,1

1,1,5

0,6,1

0,2,3

1,2,4

0,5,2

0,2,6

0,4,3

1,5,3

1,6,3

0,4,5

0,4,6

1,6,5

