resp,S1,S2

0,2,1

1,1,3

1,1,4

0,5,1

0,6,1

1,3,2

1,2,4

1,2,5

0,6,2

0,4,3

0,5,3

1,3,6

0,5,4

0,6,4

0,6,5

