resp,S1,S2

1,1,2

1,1,3

0,4,1

0,5,1

1,1,6

0,3,2

0,4,2

0,5,2

0,6,2

1,3,4

0,5,3

1,3,6

0,5,4

0,6,4

0,6,5

